estado,municipio,cve_inegi,Pob_Indigena,Mayoria_indigena,grado_escolar,grado_escolar_h,grado_escolar_m,Entre_3_5_En_escuela,Entre_3_5_En_escuela_Hombres,Entre_3_5_En_escuela_Mujeres,Mas_15_con_Sec,Mas15H,Mas15M,PEA,PEA_H,PEA_M
Oaxaca,San Juan Yatzona,20223,95.13,Indigena,5.27,5.44,5.15,0.48,0.65,0.2,0.13,0.15,0.12,37.83,73.47,10.82
Oaxaca,Santa Ana Yareni,20359,94.56,Indigena,4.7,5.22,4.36,1.25,1,1.83,0.15,0.15,0.15,10.93,20.15,4.94
Oaxaca,San Juan Mixtepec.,20209,93.95,Indigena,4.05,4.59,3.74,0.65,0.5,0.77,0.09,0.09,0.08,42.86,72.56,24.72
Oaxaca,Santiago Atitlan,20454,93.84,Indigena,5.27,5.72,4.81,0.71,0.67,0.76,0.17,0.2,0.15,35.56,66.19,4.32
Oaxaca,San Lucas Quiavini,20233,93.81,Indigena,3.84,4.29,3.54,0.7,0.55,1,0.07,0.09,0.06,35.2,65.71,15.08
Oaxaca,San Miguel Quetzaltepec,20275,93.61,Indigena,4.39,4.93,3.86,0.66,0.6,0.72,0.16,0.18,0.14,40.1,74.72,5.44
Oaxaca,Asuncion Cacalotepec,20003,93.47,Indigena,5.5,6.2,4.9,0.53,0.48,0.59,0.17,0.2,0.13,35.86,64.39,10.89
Oaxaca,San Lucas Camotlan,20231,93.16,Indigena,4.77,5.06,4.48,0.38,0.38,0.39,0.16,0.17,0.15,31.9,61.9,2.62
Oaxaca,San Miguel Aloapam,20260,92.97,Indigena,4.87,5.55,4.3,1.17,1.22,1.11,0.19,0.25,0.15,34.78,63.55,10.33
Oaxaca,San Andres Yaa,20100,92.96,Indigena,4.42,4.7,4.18,1.2,0.8,0.76,0.09,0.12,0.07,43.27,76.7,14.58
Oaxaca,San Francisco Logueche,20146,92.84,Indigena,4.93,5.6,4.39,0.8,0.8,0.8,0.27,0.29,0.26,41.31,61.5,24.69
Oaxaca,San Juan Yaee,20222,92.81,Indigena,5.46,6.03,4.98,1.2,1.13,1.28,0.15,0.19,0.11,47.75,73.69,25.32
Oaxaca,Mixistlan de la Reforma,20060,92.78,Indigena,5.41,5.69,5.16,0.99,1,0.98,0.24,0.25,0.24,55.16,73.25,38.91
Puebla,Camocuautla,21028,92.57,Indigena,4.53,4.81,4.26,1.01,1.02,1,0.15,0.17,0.14,35.32,66.71,5.52
Puebla,Atlequizayan,21080,92.55,Indigena,5.01,5.64,4.48,1.13,1.24,1.02,0.12,0.14,0.11,34.27,67.04,6.5
Oaxaca,San Miguel Yotao,20288,92.47,Indigena,5.46,5.98,5,0.75,0.67,0.89,0.11,0.11,0.11,33.26,51.69,16.59
Oaxaca,Santa Maria Temaxcalapa,20432,92.46,Indigena,5.95,6.52,5.45,0.77,0.75,0.82,0.19,0.22,0.16,49.56,73.46,28.44
Oaxaca,Abejones,20001,92.34,Indigena,5.46,6.32,4.8,0.81,1.05,0.65,0.18,0.2,0.16,22.19,39.02,8.9
Oaxaca,San Pedro Ocotepec,20323,92.32,Indigena,5.45,5.91,5.01,0.45,0.43,0.47,0.16,0.17,0.15,24.33,47.12,2.85
Oaxaca,San Jose Lachiguiri,20170,92.23,Indigena,3.72,4.19,3.36,0.38,0.38,0.38,0.13,0.16,0.12,16.75,26.25,9.12
Oaxaca,Santiago Zacatepec,20502,92.06,Indigena,4.41,4.85,4,0.44,0.44,0.43,0.08,0.09,0.07,37.55,71.14,5.69
Oaxaca,San Pedro Yaneri,20335,92.02,Indigena,5.49,6.07,4.95,0.73,0.65,0.82,0.13,0.17,0.1,38.98,69.53,10.68
Oaxaca,Santa Maria Tepantlali,20435,91.87,Indigena,4.2,4.55,3.89,0.5,0.48,0.53,0.14,0.14,0.14,52.23,70.71,35.73
Oaxaca,San Melchor Betaza,20257,91.84,Indigena,4.08,4.65,3.6,1.12,1.46,0.75,0.1,0.15,0.06,33.67,61.46,9.98
Oaxaca,Santiago Tlazoyaltepec,20494,91.74,Indigena,4.71,5.32,4.25,0.66,0.58,0.76,0.19,0.23,0.16,34.41,52.33,20.23
Oaxaca,Santa Maria Tlahuitoltepec,20437,91.72,Indigena,5.94,6.71,5.26,0.74,0.77,0.72,0.17,0.18,0.16,49.99,68.22,33.55
Oaxaca,San Juan Petlapa,20212,91.7,Indigena,4.06,4.41,3.75,0.85,0.86,0.83,0.08,0.1,0.06,37.87,76.8,2.78
Oaxaca,Santa Ines Yatzeche,20389,91.64,Indigena,4.06,4.78,3.59,0.47,0.17,1,0.13,0.17,0.11,43.37,74.61,21.94
Oaxaca,Santa Maria Alotepec,20394,91.58,Indigena,5.95,6.45,5.48,1.11,1.19,1.02,0.18,0.19,0.16,34.15,60.12,9.74
Oaxaca,San Pedro Quiatoni,20325,91.56,Indigena,4.59,4.89,4.32,0.56,0.5,0.62,0.1,0.12,0.08,47.13,78.62,18.66
Yucatan,Chikindzonot,31022,91.52,Indigena,5.8,6.2,5.39,0.91,0.9,0.92,0.22,0.22,0.21,51.51,74.24,28.36
Oaxaca,Santa Maria la Asuncion,20396,91.36,Indigena,2.78,3.5,2.28,0.8,0.68,0.93,0.07,0.08,0.06,37.24,68.67,14.34
Veracruz de Ignacio de la Llave,Tehuipango,30159,91.33,Indigena,3.05,3.79,2.38,0.61,0.59,0.63,0.07,0.09,0.06,33.9,66.6,4.41
Oaxaca,San Mateo del Mar,20248,91.31,Indigena,5.51,6.14,4.88,0.85,0.82,0.89,0.16,0.18,0.14,43.2,70.71,15.77
Oaxaca,San Martin Peras,20242,91.26,Indigena,2.49,2.99,2.06,0.35,0.38,0.32,0.04,0.05,0.03,34.03,63.53,8.57
Oaxaca,Santiago Yaitepec,20497,91.24,Indigena,2.94,3.45,2.57,0.3,0.32,0.27,0.07,0.08,0.06,37.76,62.69,19.24
Oaxaca,San Bartolome Quialana,20118,91.21,Indigena,4.43,4.36,4.48,0.82,0.82,0.83,0.08,0.07,0.09,39.13,67.28,21.91
Oaxaca,Santo Domingo Tepuxtepec,20517,91.2,Indigena,4.03,4.64,3.52,0.78,0.85,0.72,0.14,0.17,0.12,35.82,48.17,25.28
Oaxaca,San Bartolome Ayautla,20116,91.19,Indigena,3.62,4.04,3.26,0.87,0.89,0.85,0.08,0.09,0.08,33.81,65.31,5.35
Oaxaca,San Antonino Monte Verde,20105,91.17,Indigena,5.68,6.16,5.29,1.16,1.18,1.14,0.3,0.32,0.28,33.49,55.87,14.89
Oaxaca,San Felipe Usila,20136,91.17,Indigena,5.72,6.23,5.27,1.05,1.05,1.04,0.19,0.21,0.17,37.91,72.69,7.41
Oaxaca,Santa Lucia Miahuatlan,20391,91.15,Indigena,3.45,4.16,2.83,0.48,0.49,0.48,0.1,0.11,0.08,58.93,76.32,43.44
Oaxaca,San Jose Tenango,20171,91.14,Indigena,4.03,4.56,3.56,0.51,0.48,0.55,0.11,0.12,0.1,39.75,70.06,12.69
Oaxaca,Santa Ana Ateixtlahuaca,20354,90.98,Indigena,3.62,3.98,3.34,1.33,1.71,1,0.1,0.1,0.1,41.29,73.46,14.43
Oaxaca,San Juan Tabaa,20216,90.83,Indigena,6.59,7.31,5.96,0.67,0.76,0.61,0.24,0.27,0.22,41.72,71.73,15.72
Oaxaca,San Juan Quiahije,20213,90.77,Indigena,4.69,5.19,4.3,0.73,0.78,0.69,0.13,0.14,0.13,35.55,63.49,12.94
Guerrero,Atlamajalcingo del Monte,12009,90.75,Indigena,5.17,5.91,4.52,0.82,0.82,0.82,0.13,0.15,0.12,40.77,61.3,22.47
Oaxaca,Santa Maria Teopoxco,20434,90.6,Indigena,4.43,4.95,3.99,0.4,0.37,0.42,0.13,0.15,0.11,32.3,57.41,10.38
Oaxaca,Santos Reyes Yucuna,20529,90.54,Indigena,3.8,4.17,3.47,0.58,0.42,0.76,0.11,0.11,0.11,18.49,25.89,11.68
Oaxaca,San Vicente Lachixio,20535,90.49,Indigena,5.21,5.7,4.84,0.65,0.66,0.64,0.24,0.28,0.2,46.27,59.44,35.98
Oaxaca,San Lorenzo Texmelucan,20229,90.47,Indigena,4.05,4.31,3.85,0.82,0.87,0.78,0.1,0.1,0.1,27.24,56.29,4.56
Oaxaca,Santa Maria Texcatitlan,20436,90.39,Indigena,4.89,5.37,4.48,0.81,0.76,0.86,0.26,0.26,0.25,49.77,63.97,37.28
Oaxaca,Santa Catalina Quieri,20361,90.35,Indigena,4.65,5.14,4.3,0.98,0.96,1,0.16,0.19,0.14,17.91,34.26,5.87
Oaxaca,Tamazulapam del Espiritu Santo,20031,90.32,Indigena,5.33,6.24,4.57,0.52,0.53,0.5,0.14,0.18,0.12,46.55,65.69,30.22
Chiapas,Chamula,7023,90.25,Indigena,3.33,3.96,2.84,0.53,0.55,0.51,0.04,0.06,0.03,50.55,78,28.5
Chiapas,Tenejapa,7093,90.22,Indigena,4.9,5.68,4.19,0.66,0.67,0.65,0.11,0.14,0.08,44.83,76.02,15.66
Hidalgo,Xochiatipan,13078,90.11,Indigena,5.31,6.04,4.63,0.97,0.96,0.98,0.2,0.23,0.17,22.35,33.44,11.97
Oaxaca,Huautepec,20040,90.06,Indigena,3.38,3.8,3.03,0.66,0.67,0.65,0.08,0.1,0.07,39.68,71.45,11.71
Yucatan,Mayapan,31049,89.87,Indigena,4.58,4.8,4.35,0.74,0.61,0.91,0.19,0.17,0.2,62.74,77.28,48.09
Puebla,Zoquitlan,21217,89.86,Indigena,3.75,4.05,3.49,0.52,0.51,0.53,0.11,0.11,0.1,41.59,71.62,14.52
Puebla,Coyomeapan,21036,89.85,Indigena,4.17,4.56,3.82,0.62,0.61,0.63,0.1,0.11,0.09,40.16,72.51,11.62
Veracruz de Ignacio de la Llave,Mixtla de Altamirano,30110,89.82,Indigena,2.7,2.67,2.72,0.65,0.61,0.68,0.04,0.04,0.05,41.82,76.05,8.24
Oaxaca,San Pedro Mixtepec,20319,89.81,Indigena,5.44,5.59,5.32,0.51,0.5,0.52,0.2,0.21,0.19,42.09,69.07,20.04
Oaxaca,Santa Catarina Mechoacan,20367,89.81,Indigena,5.45,5.52,5.39,1.1,1.08,1.12,0.18,0.16,0.19,44.37,78.21,12.68
Oaxaca,San Juan Juquila Vijanos,20201,89.79,Indigena,5.52,6.04,5.11,1.1,1.03,1.18,0.15,0.18,0.13,37.03,66.72,11.9
Oaxaca,Santiago Texcalcingo,20490,89.73,Indigena,3.89,4.02,3.79,0.44,0.29,0.63,0.07,0.07,0.07,38.7,67.86,12.29
Veracruz de Ignacio de la Llave,Atlahuilco,30020,89.72,Indigena,4.08,4.38,3.81,0.61,0.55,0.68,0.09,0.09,0.09,41.92,77.03,10.32
Guerrero,Metlatonoc,12043,89.67,Indigena,3.17,3.54,2.86,0.79,0.79,0.79,0.05,0.06,0.05,34.71,59.61,13.35
Oaxaca,San Jose Independencia,20169,89.63,Indigena,4.9,5.22,4.61,0.78,0.81,0.74,0.11,0.13,0.09,35.72,67.1,7.79
Oaxaca,San Juan numi,20210,89.6,Indigena,5.69,6.27,5.2,1.13,1.13,1.14,0.21,0.23,0.2,37.23,58.59,18.46
Oaxaca,Santo Domingo Roayaga,20514,89.57,Indigena,4.68,4.93,4.47,0.83,0.86,0.81,0.17,0.19,0.16,40.5,77.3,6.17
Guerrero,Cochoapa el Grande,12078,89.57,Indigena,2.03,2.51,1.61,0.45,0.44,0.46,0.03,0.04,0.02,35.69,62.77,12.15
Oaxaca,San Juan Mixtepec,20208,89.55,Indigena,4.77,5.56,4.07,0.98,0.97,0.98,0.12,0.14,0.1,40.72,61.02,23.02
Yucatan,Tahdziu,31073,89.54,Indigena,4.9,5.36,4.45,0.76,0.83,0.68,0.21,0.23,0.2,52.02,76.99,27.2
Chiapas,Oxchuc,7064,89.46,Indigena,5.91,6.52,5.29,0.63,0.62,0.63,0.18,0.21,0.15,41.68,73.33,9.04
Oaxaca,San Pablo Tijaltepec,20297,89.44,Indigena,4.97,5.88,4.3,1.08,1.03,1.14,0.17,0.21,0.14,43.42,58.97,32.13
Chiapas,Chalchihuitan,7022,89.4,Indigena,4.24,5.01,3.5,0.58,0.57,0.6,0.08,0.12,0.05,43.11,76.39,10.92
Yucatan,Chacsinkin,31016,89.39,Indigena,5.51,5.91,5.09,0.92,0.91,0.94,0.23,0.26,0.2,55.99,82.01,29.04
Oaxaca,San Marcial Ozolotepec,20236,89.38,Indigena,4.33,4.75,3.96,0.31,0.22,0.42,0.1,0.09,0.11,34.94,60.49,12.04
Oaxaca,San Juan del Rio,20194,89.36,Indigena,4.81,4.83,4.8,1.33,1.19,1.55,0.24,0.23,0.24,52.61,76.26,33.45
Chiapas,San Juan Cancuc,7112,89.34,Indigena,4.26,5.39,3.21,0.47,0.49,0.46,0.1,0.13,0.06,39.79,71.76,9.72
Oaxaca,San Antonio Sinicahua,20110,89.27,Indigena,5.18,6,4.53,0.59,0.61,0.57,0.21,0.26,0.17,41.58,48.78,35.94
Chiapas,Ocotepec,7060,89.09,Indigena,4.02,4.42,3.65,0.91,0.88,0.94,0.09,0.09,0.09,36.66,67.4,7.48
Puebla,Ixtepec,21084,89.08,Indigena,4.71,5.32,4.16,0.67,0.73,0.62,0.12,0.14,0.1,42.61,75.42,12.67
Chiapas,Chanal,7024,89.04,Indigena,4.74,5.3,4.19,0.68,0.67,0.69,0.15,0.16,0.13,43.59,69.03,18.55
Oaxaca,Santa Maria Chilchotla,20406,89.02,Indigena,4.1,4.37,3.84,0.66,0.64,0.68,0.11,0.11,0.1,39.85,72.32,9.14
Oaxaca,San Baltazar Chichicapam,20112,89.01,Indigena,5.72,5.77,5.68,0.78,0.66,0.95,0.2,0.19,0.21,41.31,68.16,18.53
Guerrero,Acatepec,12076,88.98,Indigena,5.13,5.49,4.8,0.93,0.94,0.92,0.12,0.13,0.1,40.65,62.72,20.3
Oaxaca,Santa Maria Xadani,20441,88.97,Indigena,4.7,5.38,4.02,1.1,1.1,1.1,0.11,0.14,0.08,59.1,73.93,44.31
Oaxaca,Santo Tomas Ocotepec,20532,88.94,Indigena,5.54,6.39,4.85,0.8,0.76,0.84,0.23,0.27,0.2,46.75,64.49,31.66
Oaxaca,San Miguel Panixtlahuaca,20272,88.93,Indigena,4.61,5.17,4.18,0.7,0.63,0.76,0.13,0.16,0.1,31.42,55.5,12.7
Veracruz de Ignacio de la Llave,Soledad Atzompa,30147,88.84,Indigena,4.11,4.4,3.83,0.43,0.47,0.4,0.09,0.1,0.09,32.99,62.43,5.15
Veracruz de Ignacio de la Llave,Astacinga,30019,88.81,Indigena,3.94,4.27,3.69,0.46,0.42,0.5,0.08,0.09,0.08,27.57,50.52,9.23
Oaxaca,San Pedro Yolox,20336,88.8,Indigena,5.21,5.69,4.79,1.08,1.08,1.08,0.17,0.2,0.15,37.25,62.25,15.44
Chiapas,Tapalapa,7090,88.74,Indigena,5.24,5.6,4.92,0.94,0.97,0.9,0.16,0.13,0.18,41.07,68.7,15.59
Oaxaca,San Lucas Zoquiapam,20234,88.71,Indigena,4.54,5.16,3.99,0.55,0.52,0.59,0.16,0.18,0.14,41.9,72.86,13.74
Oaxaca,Coicoyan de las Flores,20016,88.69,Indigena,2.32,2.61,2.09,0.4,0.4,0.4,0.05,0.05,0.05,31.28,55.01,11.61
Chiapas,Tumbala,7100,88.65,Indigena,4.96,5.94,4.06,0.83,0.88,0.79,0.16,0.19,0.13,38.14,73.46,5.02
Veracruz de Ignacio de la Llave,Filomeno Mata,30067,88.62,Indigena,4.05,4.56,3.56,0.48,0.46,0.5,0.1,0.11,0.1,37.11,66.05,9.1
Chiapas,Zinacantan,7111,88.55,Indigena,3.51,4.44,2.75,0.4,0.4,0.4,0.06,0.08,0.05,42.75,81.38,10.03
Oaxaca,San Simon Zahuatlan,20352,88.52,Indigena,2.97,3.68,2.27,0.2,0.2,0.21,0.09,0.11,0.07,17.02,25,9.11
Chiapas,Mitontic,7056,88.48,Indigena,3.19,3.7,2.7,0.44,0.45,0.43,0.06,0.08,0.05,24.34,45.16,5.19
Oaxaca,San Andres Solaga,20097,88.45,Indigena,5.24,5.51,5,0.97,0.83,1.18,0.08,0.1,0.07,41.64,67.31,19.64
Oaxaca,San Cristobal Lachirioag,20128,88.29,Indigena,5.22,5.6,4.89,1.17,1.5,0.95,0.08,0.09,0.08,40.73,70.84,14.03
Oaxaca,San Francisco Huehuetlan,20142,88.28,Indigena,3.48,4.13,2.97,1,0.78,1.33,0.11,0.13,0.1,38.61,70.56,12.92
Oaxaca,San Martin Itunyoso,20240,88.21,Indigena,4.6,5.98,3.67,0.82,0.72,0.92,0.14,0.18,0.12,33.95,58.53,16.72
Oaxaca,Magdalena Penasco,20050,88.17,Indigena,4.46,5.1,3.93,1.08,1.12,1.05,0.14,0.16,0.13,27.85,41.66,16.48
Veracruz de Ignacio de la Llave,Tlaquilpa,30184,88.13,Indigena,4.13,4.15,4.12,0.53,0.53,0.54,0.08,0.08,0.09,37.87,68.54,13.24
Oaxaca,San Juan Juquila Mixes,20200,88,Indigena,4.47,4.91,4.11,0.89,0.94,0.85,0.15,0.16,0.14,36.46,62.36,15.02
Puebla,Olintla,21107,87.88,Indigena,4,4.45,3.59,0.73,0.77,0.69,0.1,0.11,0.09,39.1,73.93,7.18
Oaxaca,San Dionisio Ocotepec,20131,87.86,Indigena,4.93,5.25,4.67,0.56,0.63,0.49,0.1,0.12,0.08,41.31,73,14.9
Oaxaca,San Juan Bautista Tlacoatzintepec,20182,87.78,Indigena,4.65,4.97,4.36,0.9,0.83,0.98,0.12,0.12,0.12,29.4,56.8,4.59
Chiapas,Chenalho,7026,87.77,Indigena,4.24,5.02,3.5,0.58,0.59,0.58,0.08,0.11,0.06,48.71,76.72,22.22
Oaxaca,San Pedro Ocopetatillo,20322,87.56,Indigena,3.81,4.43,3.3,0.5,0.43,0.57,0.1,0.13,0.07,42.66,72.66,17.95
Oaxaca,Santiago Nuyoo,20481,87.54,Indigena,6.51,7.17,5.95,1.11,1.32,0.88,0.24,0.25,0.23,36.23,68.73,8.56
Oaxaca,Santa Maria Lachixio,20420,87.44,Indigena,5.46,6.19,4.88,0.92,0.98,0.88,0.18,0.23,0.14,58.93,67.16,52.24
Oaxaca,San Pedro Sochiapam,20326,87.43,Indigena,4.73,5.13,4.37,0.97,1.02,0.91,0.15,0.18,0.12,35.3,65.03,8.18
Puebla,Zongozotla,21215,87.41,Indigena,5.87,6.81,5.01,1.12,1.07,1.17,0.19,0.22,0.15,40.64,68.66,14.04
Veracruz de Ignacio de la Llave,Mecatlan,30103,87.36,Indigena,4.38,4.84,3.95,0.62,0.61,0.64,0.11,0.13,0.1,29.34,52.37,7.76
Oaxaca,San Juan Quiotepec,20214,87.25,Indigena,4.95,5.71,4.21,1.03,0.91,1.13,0.17,0.2,0.13,34.35,58.62,10.87
Oaxaca,Santiago Lalopa,20471,87.1,Indigena,5.89,6.04,5.76,0.94,0.64,1.5,0.1,0.11,0.09,40.96,69.49,15.58
Oaxaca,Santa Maria Penoles,20426,87.02,Indigena,5.2,5.95,4.52,0.66,0.62,0.7,0.18,0.21,0.16,21.32,35.96,8.32
Oaxaca,San Vicente Coatlan,20534,86.93,Indigena,4.32,4.77,3.97,0.29,0.28,0.3,0.1,0.12,0.08,62.76,71.86,55.37
Oaxaca,San Juan Coatzospam,20187,86.82,Indigena,4.96,5.39,4.53,0.79,0.7,0.88,0.13,0.15,0.11,43.63,75.61,11.97
Chiapas,Santiago el Pinar,7119,86.72,Indigena,4.24,5.38,3.17,0.61,0.62,0.6,0.14,0.19,0.09,34.15,66.6,3.43
Puebla,Eloxochitlan,21061,86.61,Indigena,4.17,4.68,3.67,0.58,0.63,0.54,0.11,0.13,0.09,39.28,71.67,7.79
Oaxaca,Santiago Nundiche,20480,86.56,Indigena,5.55,6.19,4.98,1.13,1.06,1.25,0.24,0.26,0.21,53.7,67.86,41.03
Oaxaca,San Lorenzo Cuaunecuiltitla,20228,86.51,Indigena,3.92,4.39,3.45,0.92,0.77,1.13,0.14,0.16,0.13,35.97,67.55,4.51
Chiapas,Chilon,7031,86.47,Indigena,4.74,5.78,3.75,0.63,0.63,0.63,0.12,0.15,0.09,38.38,68.76,9.05
Oaxaca,Tanetze de Zaragoza,20541,86.47,Indigena,5.9,6.04,5.77,0.72,0.5,0.96,0.11,0.13,0.1,40.25,67.72,14.76
Oaxaca,San Bartolome Zoogocho,20120,86.41,Indigena,5.65,6.17,5.24,1.11,0.67,1.33,0.12,0.15,0.1,48.58,70.8,31.67
Yucatan,Tixcacalcupul,31092,86.36,Indigena,5.38,5.73,5.02,0.86,0.91,0.81,0.2,0.22,0.19,45.07,73.83,15.63
Chiapas,Huixtan,7038,86.32,Indigena,5.02,5.6,4.47,0.72,0.74,0.69,0.14,0.17,0.11,47.11,73.34,21.99
Chiapas,Tila,7096,86.26,Indigena,5.42,6.18,4.67,0.83,0.86,0.81,0.15,0.18,0.13,41.49,75.87,7.35
Veracruz de Ignacio de la Llave,Chumatlan,30064,86.22,Indigena,5.83,6.21,5.48,0.91,0.86,0.96,0.15,0.15,0.14,41.54,64.82,19.99
Oaxaca,San Pablo Yaganiza,20299,86.19,Indigena,5.47,5.95,5.09,1.3,1.39,1.21,0.2,0.24,0.17,62.03,70.84,54.94
Oaxaca,San Miguel Tilquiapam,20284,86.17,Indigena,3.31,3.81,2.96,0.28,0.33,0.24,0.06,0.07,0.05,38.67,57.56,24.82
Chiapas,Sitala,7082,86.11,Indigena,3.29,4.15,2.45,0.58,0.61,0.54,0.08,0.11,0.05,38.81,75.49,3.68
Oaxaca,Santiago Comaltepec,20458,86.1,Indigena,6.22,6.83,5.67,1.22,1.45,1.06,0.19,0.22,0.15,33.99,61.24,9.03
Yucatan,Chankom,31017,86.07,Indigena,5.51,5.91,5.08,0.84,0.9,0.79,0.22,0.24,0.21,48.9,75.27,21.14
Chiapas,San Andres Duraznal,7118,85.9,Indigena,3.77,4.51,3.11,0.88,0.87,0.9,0.1,0.13,0.08,40.19,78.94,5.09
Puebla,Ahuacatlan,21006,85.75,Indigena,4.68,4.97,4.42,0.82,0.8,0.84,0.15,0.16,0.14,45.41,73.27,20.56
Oaxaca,Santa Maria Temaxcaltepec,20433,85.63,Indigena,3.8,4.03,3.64,0.44,0.38,0.52,0.09,0.08,0.1,37.19,70.99,11.01
Veracruz de Ignacio de la Llave,Los Reyes,30137,85.58,Indigena,4.8,5.15,4.47,0.83,0.92,0.76,0.13,0.14,0.11,42.02,69.69,15.17
Puebla,Naupan,21100,85.47,Indigena,5.3,5.55,5.1,1.04,1.08,1,0.2,0.22,0.18,46.76,74.93,23.35
Chiapas,El Bosque,7014,85.42,Indigena,4.77,5.41,4.18,0.77,0.73,0.81,0.14,0.15,0.12,39.22,74.93,5.38
Oaxaca,Santiago Apoala,20451,85.38,Indigena,3.93,4.8,3.24,1.11,0.73,1.54,0.16,0.19,0.14,49.35,70.9,31.75
Puebla,Tepetzintla,21167,85.35,Indigena,4.59,5.03,4.2,0.92,0.93,0.9,0.17,0.19,0.15,47.69,76.38,22
Oaxaca,San Pedro Jicayan,20312,85.35,Indigena,5.8,6.1,5.54,0.87,0.79,0.95,0.18,0.19,0.16,38.79,67.25,13.15
Guerrero,Xochistlahuaca,12071,85.24,Indigena,3.84,4.03,3.66,1.03,1.04,1.03,0.07,0.07,0.06,64.2,75.39,53.81
Oaxaca,Eloxochitlan de Flores Magon,20029,85.08,Indigena,3.86,4.19,3.59,0.48,0.47,0.49,0.09,0.09,0.09,40.76,72.91,13.37
Oaxaca,Santiago Laxopa,20473,85.08,Indigena,6.04,6.29,5.83,1.49,1.5,1.48,0.23,0.25,0.22,58.97,76.26,43.98
Guerrero,Jose Joaquin de Herrera,12079,84.89,Indigena,3.52,3.9,3.16,0.73,0.74,0.72,0.09,0.1,0.08,40.34,67.7,14.04
Oaxaca,San Mateo Cajonos,20246,84.84,Indigena,5,5.47,4.67,0.76,0.63,0.92,0.21,0.16,0.25,41.94,65.85,24.37
Oaxaca,San Pedro Jaltepetongo,20311,84.72,Indigena,4.55,5.6,3.63,0.94,1,0.88,0.22,0.25,0.19,24.6,24.14,25
Oaxaca,San Pedro y San Pablo Ayutla,20337,84.7,Indigena,4.47,4.95,4.1,0.62,0.66,0.59,0.13,0.14,0.11,49.85,66.65,35.96
Yucatan,Tekom,31081,84.68,Indigena,5.67,6.12,5.24,0.89,0.91,0.87,0.22,0.25,0.2,41.36,66.25,17.07
Oaxaca,Villa Hidalgo,20038,84.56,Indigena,5.07,5.39,4.78,0.67,0.72,0.63,0.15,0.18,0.13,42.64,62.76,24.67
Chiapas,Larrainzar,7049,84.55,Indigena,4.97,5.7,4.29,0.74,0.72,0.77,0.13,0.17,0.1,44.29,73.84,16.23
Oaxaca,San Agustin Loxicha,20085,84.24,Indigena,4.7,5.27,4.17,0.35,0.37,0.33,0.12,0.14,0.11,37.03,65.28,10.21
Oaxaca,Magdalena Teitipac,20051,84.2,Indigena,3.25,3.49,3.06,0.51,0.52,0.5,0.04,0.05,0.04,67.22,84.88,52.87
Guerrero,Malinaltepec,12041,84.12,Indigena,6.28,6.93,5.74,1.02,1.01,1.04,0.17,0.19,0.15,32.52,52.73,15.06
Guerrero,Iliatenco,12081,84.07,Indigena,6.83,7.51,6.24,0.91,0.91,0.91,0.17,0.19,0.15,27.4,45.94,11.04
Oaxaca,Santa Maria Yucuhiti,20446,84.05,Indigena,6.55,7.21,5.97,1.21,1.31,1.1,0.24,0.27,0.21,37.49,70.17,8.45
Puebla,San Sebastian Tlacotepec,21145,83.83,Indigena,4.83,5.3,4.39,0.66,0.64,0.69,0.12,0.14,0.1,42.59,74.75,12.4
Oaxaca,Santa Maria Quiegolani,20428,83.79,Indigena,5.39,5.88,4.89,1.06,0.98,1.17,0.15,0.17,0.13,42.46,68.15,16.93
Yucatan,Chichimila,31021,83.75,Indigena,5.99,6.22,5.76,0.92,0.9,0.94,0.22,0.23,0.21,44.22,68.89,19.77
Oaxaca,Santa Maria Apazco,20395,83.51,Indigena,3.93,4.87,3.16,0.96,1.14,0.79,0.13,0.15,0.11,51.09,70.21,35.45
Guerrero,Xalpatlahuac,12069,83.42,Indigena,3.72,4.09,3.43,0.92,0.92,0.93,0.08,0.09,0.07,30.21,50.77,13.27
Guerrero,Alcozauca de Guerrero,12004,83.37,Indigena,3.32,3.51,3.18,0.69,0.67,0.7,0.06,0.07,0.06,26.69,46.42,10.54
Yucatan,Uayma,31099,83.34,Indigena,5.4,5.67,5.13,0.84,0.91,0.78,0.26,0.26,0.26,44.9,74.27,13.8
Yucatan,Chemax,31019,83.31,Indigena,4.81,5.13,4.48,0.73,0.74,0.71,0.19,0.2,0.18,42.94,77.06,8.61
Yucatan,Tixmehuac,31094,83.21,Indigena,5.73,6.01,5.44,1.18,1.08,1.28,0.22,0.22,0.21,59.8,79.08,39.55
Yucatan,Chumayel,31024,83.2,Indigena,5.29,5.31,5.28,0.93,0.87,1,0.21,0.18,0.23,52.33,71.8,33.58
Oaxaca,San Felipe Jalapa de Diaz,20134,83.11,Indigena,4.78,5.24,4.36,0.49,0.46,0.52,0.12,0.14,0.11,41.23,74.58,10.64
Oaxaca,San Cristobal Amatlan,20126,83,Indigena,4.33,5.03,3.76,0.62,0.65,0.59,0.15,0.17,0.13,43.78,56.17,33.42
Oaxaca,Santa Maria Yosoyua,20445,82.95,Indigena,6.26,6.99,5.63,1.24,1.27,1.21,0.24,0.26,0.23,6,9.07,3.29
Oaxaca,San Mateo Penasco,20252,82.94,Indigena,5.4,6.4,4.58,0.69,0.8,0.6,0.22,0.27,0.18,30.92,33.62,28.67
Oaxaca,Santa Cruz Acatepec,20374,82.93,Indigena,4.83,5.49,4.28,0.3,0.35,0.26,0.15,0.15,0.15,39.52,69.96,13.62
